"user_id","meta_value"
2809,"a:1:{s:8:""guardian"";b:1;}"
3282,"a:1:{s:8:""guardian"";b:1;}"
2896,"a:1:{s:8:""guardian"";b:1;}"
3742,"a:1:{s:8:""guardian"";b:1;}"
3334,"a:1:{s:8:""guardian"";b:1;}"
3072,"a:1:{s:8:""guardian"";b:1;}"
2780,"a:1:{s:8:""guardian"";b:1;}"
2693,"a:1:{s:8:""guardian"";b:1;}"
3813,"a:1:{s:8:""guardian"";b:1;}"
3033,"a:1:{s:8:""guardian"";b:1;}"
3879,"a:1:{s:8:""guardian"";b:1;}"
3773,"a:1:{s:8:""guardian"";b:1;}"
3734,"a:1:{s:8:""guardian"";b:1;}"
3397,"a:1:{s:8:""guardian"";b:1;}"
3385,"a:1:{s:8:""guardian"";b:1;}"
3155,"a:1:{s:8:""guardian"";b:1;}"
3122,"a:1:{s:8:""guardian"";b:1;}"
2837,"a:1:{s:8:""guardian"";b:1;}"
3885,"a:1:{s:8:""guardian"";b:1;}"
2516,"a:1:{s:8:""guardian"";b:1;}"
3303,"a:1:{s:8:""guardian"";b:1;}"
3387,"a:1:{s:8:""guardian"";b:1;}"
2864,"a:1:{s:8:""guardian"";b:1;}"
2852,"a:1:{s:8:""guardian"";b:1;}"
2517,"a:1:{s:8:""guardian"";b:1;}"
3650,"a:1:{s:8:""guardian"";b:1;}"
3210,"a:1:{s:8:""guardian"";b:1;}"
3131,"a:1:{s:8:""guardian"";b:1;}"
3037,"a:1:{s:8:""guardian"";b:1;}"
2615,"a:1:{s:8:""guardian"";b:1;}"
2585,"a:1:{s:8:""guardian"";b:1;}"
3806,"a:1:{s:8:""guardian"";b:1;}"
3422,"a:1:{s:8:""guardian"";b:1;}"
3601,"a:1:{s:8:""guardian"";b:1;}"
3548,"a:1:{s:8:""guardian"";b:1;}"
3201,"a:1:{s:8:""guardian"";b:1;}"
3173,"a:1:{s:8:""guardian"";b:1;}"
3112,"a:1:{s:8:""guardian"";b:1;}"
3633,"a:1:{s:8:""guardian"";b:1;}"
3415,"a:1:{s:8:""guardian"";b:1;}"
3379,"a:1:{s:8:""guardian"";b:1;}"
3491,"a:1:{s:8:""guardian"";b:1;}"
3816,"a:1:{s:8:""guardian"";b:1;}"
3814,"a:1:{s:8:""guardian"";b:1;}"
3539,"a:3:{s:8:""guardian"";b:1;s:13:""bishop_galvin"";b:1;s:8:""customer"";b:1;}"
3344,"a:1:{s:8:""guardian"";b:1;}"
2668,"a:1:{s:8:""guardian"";b:1;}"
2508,"a:1:{s:8:""guardian"";b:1;}"
3477,"a:1:{s:8:""guardian"";b:1;}"
2466,"a:1:{s:8:""guardian"";b:1;}"
2435,"a:1:{s:8:""guardian"";b:1;}"
3812,"a:1:{s:8:""guardian"";b:1;}"
3644,"a:1:{s:8:""guardian"";b:1;}"
3357,"a:1:{s:8:""guardian"";b:1;}"
3324,"a:1:{s:8:""guardian"";b:1;}"
3262,"a:1:{s:8:""guardian"";b:1;}"
3257,"a:1:{s:8:""guardian"";b:1;}"
3077,"a:1:{s:8:""guardian"";b:1;}"
2609,"a:1:{s:8:""guardian"";b:1;}"
3559,"a:1:{s:8:""guardian"";b:1;}"
3426,"a:1:{s:8:""guardian"";b:1;}"
3049,"a:1:{s:8:""guardian"";b:1;}"
2858,"a:1:{s:8:""guardian"";b:1;}"
2474,"a:1:{s:8:""guardian"";b:1;}"
3761,"a:1:{s:8:""guardian"";b:1;}"
3670,"a:1:{s:8:""guardian"";b:1;}"
3404,"a:3:{s:8:""guardian"";b:1;s:13:""bishop_galvin"";b:1;s:12:""bishopgalvin"";b:1;}"
3271,"a:1:{s:8:""guardian"";b:1;}"
3004,"a:1:{s:8:""guardian"";b:1;}"
2562,"a:1:{s:8:""guardian"";b:1;}"
2506,"a:1:{s:8:""guardian"";b:1;}"
3278,"a:1:{s:8:""guardian"";b:1;}"
2995,"a:1:{s:8:""guardian"";b:1;}"
2817,"a:1:{s:8:""guardian"";b:1;}"
2701,"a:1:{s:8:""guardian"";b:1;}"
3894,"a:1:{s:8:""guardian"";b:1;}"
3250,"a:1:{s:8:""guardian"";b:1;}"
2918,"a:1:{s:8:""guardian"";b:1;}"
2791,"a:1:{s:8:""guardian"";b:1;}"
