id,user_id,product_id,booking,stripe_id
62318,13007,22,2023-12-07,62318
62321,6522,20,2023-12-06,62321
62323,6348,20,2023-12-06,62323
62324,8481,20,2023-12-06,62324
62331,6287,22,2023-12-07,62331
62334,2939,27,2023-12-07,62334
62335,7808,24,2023-12-07,62335
62336,10181,24,2023-12-07,62336
62354,10552,28,2023-12-08,62354
62365,5584,27,2023-12-07,62365
62366,6159,29,2023-12-08,62366
62380,6130,31,2023-12-08,62380
62385,6435,28,2023-12-08,62385
62386,13040,28,2023-12-08,62386
62387,12696,28,2023-12-08,62387
62388,6181,29,2023-12-08,62388
62405,12961,18,2023-12-13,62405
62413,7035,28,2023-12-15,62413
62418,7881,39,2023-12-09,62418
62432,10538,39,2023-12-09,62432
62438,13119,42,2023-12-10,62438
62460,12045,40,2023-12-10,62460
62464,12696,40,2023-12-10,62464
62470,7423,41,2023-12-10,62470
62472,6138,42,2023-12-10,62472
62473,6206,7,2023-12-11,62473
62474,6206,18,2023-12-13,62474
62475,8527,43,2023-12-10,62475
62476,7169,5,2023-12-11,62476
62488,6130,7,2023-12-11,62488
62502,13040,5,2023-12-11,62502
62507,10552,5,2023-12-11,62507
62518,6181,5,2023-12-11,62518
62519,11535,5,2023-12-11,62519
62527,6570,7,2023-12-11,62527
62530,9218,62,2023-12-12,62530
62537,8621,71,2023-12-11,62537
62538,6141,62,2023-12-12,62538
62539,6159,10,2023-12-11,62539
62540,4663,71,2023-12-11,62540
62543,4348,34,2023-12-15,62543
62544,4348,34,2023-12-15,62544
62545,13007,62,2023-12-12,62545
62546,6420,10,2023-12-11,62546
62548,11582,71,2023-12-11,62548
62549,7516,71,2023-12-11,62549
62550,6522,10,2023-12-11,62550
62552,5515,62,2023-12-12,62552
62553,13040,62,2023-12-12,62553
62554,9883,44,2023-12-12,62554
62555,13079,22,2023-12-14,62555
62556,7808,44,2023-12-12,62556
62560,10181,44,2023-12-12,62560
62586,7425,45,2023-12-12,62586
62588,7425,82,2023-12-13,62588
62599,7035,5,2023-12-18,62599
62604,9641,45,2023-12-12,62604
62612,7136,45,2023-12-12,62612
62624,6130,18,2023-12-13,62624
62625,6125,45,2023-12-12,62625
62627,5515,82,2023-12-13,62627
62628,6181,82,2023-12-13,62628
62629,13108,36,2023-12-16,62629
62642,6522,20,2023-12-13,62642
62643,6159,20,2023-12-13,62643
62646,13007,22,2023-12-14,62646
62647,6141,22,2023-12-14,62647
62721,13134,43,2023-12-17,62721
62713,13007,28,2023-12-15,62713
62714,6130,31,2023-12-15,62714
62715,13040,28,2023-12-15,62715
62718,5515,28,2023-12-15,62718
62719,11535,28,2023-12-15,62719
62720,6413,28,2023-12-15,62720
62722,6181,29,2023-12-15,62722
62723,6435,29,2023-12-15,62723
62724,6206,31,2023-12-15,62724
62730,12974,36,2023-12-16,62730
62738,7035,28,2023-12-22,62738
62748,8621,40,2023-12-17,62748
62749,4984,41,2023-12-17,62749
62750,6518,40,2023-12-17,62750
62751,7348,40,2023-12-17,62751
62753,12045,40,2023-12-17,62753
62755,6206,7,2023-12-18,62755
62756,6206,18,2023-12-20,62756
62758,6206,31,2023-12-22,62758
62759,12037,43,2023-12-17,62759
62760,6519,5,2023-12-18,62760
62761,6130,7,2023-12-18,62761
62762,13040,5,2023-12-18,62762
62763,6908,5,2023-12-18,62763
62764,6141,62,2023-12-19,62764
62765,6141,22,2023-12-21,62765
62766,13007,5,2023-12-18,62766
62767,6471,5,2023-12-18,62767
62768,11535,5,2023-12-18,62768
62769,12961,18,2023-12-20,62769
62770,9218,62,2023-12-19,62770
62785,6420,10,2023-12-18,62785
62786,7516,71,2023-12-18,62786
62787,6130,44,2023-12-19,62787
62788,4794,71,2023-12-18,62788
62789,4663,71,2023-12-18,62789
62790,8621,71,2023-12-18,62790
62791,11582,71,2023-12-18,62791
62792,8481,10,2023-12-18,62792
62793,13007,62,2023-12-19,62793
62794,7169,62,2023-12-19,62794
62795,11535,62,2023-12-19,62795
62796,13040,62,2023-12-19,62796
62797,5515,62,2023-12-19,62797
62798,6570,44,2023-12-19,62798
62799,13079,22,2023-12-21,62799
62801,9641,45,2023-12-19,62801
62802,7425,45,2023-12-19,62802
62803,7425,82,2023-12-20,62803
62804,6731,45,2023-12-19,62804
62805,7136,45,2023-12-19,62805
62806,9860,45,2023-12-19,62806
62807,6125,45,2023-12-19,62807
62809,5515,82,2023-12-20,62809
62810,6181,82,2023-12-20,62810
62811,7808,18,2023-12-20,62811
62812,10552,22,2023-12-21,62812
62813,10552,28,2023-12-22,62813
62814,4001,20,2023-12-20,62814
62815,8481,20,2023-12-20,62815
62817,13007,22,2023-12-21,62817
62819,6435,22,2023-12-21,62819
62821,11535,22,2023-12-21,62821
62822,6319,31,2023-12-22,62822
62823,6130,31,2023-12-22,62823
62824,6413,28,2023-12-22,62824
62826,6181,29,2023-12-22,62826
62828,9283,29,2023-12-22,62828
62830,8621,68,2023-12-23,62830
62831,9735,68,2023-12-23,62831
62832,6402,68,2023-12-23,62832
62833,13149,66,2023-12-23,62833
62834,12790,65,2023-12-23,62834
62835,11535,68,2023-12-23,62835
62837,13109,65,2023-12-23,62837
62838,4056,38,2023-12-23,62838
62839,6653,35,2023-12-23,62839
62840,8673,38,2023-12-23,62840
62841,12382,38,2023-12-23,62841
62842,9091,78,2023-12-28,62842
62843,9091,28,2023-12-29,62843
62844,10178,25,2023-12-28,62844
