"id","user_id","student_id","session_id","term_id","wc_order_id","booking_date","order_status","order_type","paid","completed","assesment_comment","assesment_id","order_reviewed","assesment_complete","rank"
82121,9184,6517,3511,1037,79494,"2025-09-03 11:55:18","completed","sco_booking",1,NULL,NULL,1,0,0,1
82123,9184,7522,3507,1037,79496,"2025-09-03 11:59:01","completed","sco_booking",1,NULL,NULL,1,0,0,1
82128,5165,6797,3288,1036,79500,"2025-09-03 12:45:39","completed","sco_booking",1,NULL,NULL,1,0,0,1
82160,9174,6503,3511,1037,79528,"2025-09-03 22:33:55","completed","sco_booking",1,NULL,NULL,1,0,0,1
82162,9174,7532,3507,1037,79530,"2025-09-03 22:47:28","completed","sco_booking",1,NULL,NULL,1,0,0,1
82163,9174,8798,3506,1037,79531,"2025-09-03 22:49:06","completed","sco_booking",1,NULL,NULL,1,0,0,1
82264,12932,8290,3507,1037,79589,"2025-09-05 14:09:28","completed","sco_booking",1,NULL,NULL,1,0,0,1
82265,12932,9262,3506,1037,79590,"2025-09-05 14:14:59","completed","sco_booking",1,NULL,NULL,1,0,0,1
82306,9187,6520,3511,1037,79613,"2025-09-06 09:47:40","completed","sco_booking",1,NULL,NULL,1,0,0,1
82312,14063,8863,3018,1036,79620,"2025-09-06 12:00:04","completed","sco_booking",1,NULL,NULL,1,0,0,1
82313,14063,8862,3502,1036,79621,"2025-09-06 12:00:47","completed","sco_booking",1,NULL,NULL,1,0,0,1
82319,12971,8424,3503,1036,79623,"2025-09-06 13:38:10","completed","sco_booking",1,NULL,NULL,1,0,0,1
82320,12971,8425,3503,1036,79624,"2025-09-06 13:41:20","completed","sco_booking",1,NULL,NULL,1,0,0,1
82336,10254,7736,3185,1036,79635,"2025-09-06 15:00:16","completed","sco_booking",1,NULL,NULL,1,0,0,1
82426,9190,8212,3506,1037,79705,"2025-09-07 23:06:27","completed","sco_booking",1,NULL,NULL,1,0,0,1
82427,9190,6528,3508,1037,79706,"2025-09-07 23:07:24","completed","sco_booking",1,NULL,NULL,1,0,0,1
82428,9190,9270,3506,1037,79707,"2025-09-07 23:08:22","completed","sco_booking",1,NULL,NULL,1,0,0,1
82444,14879,9272,3506,1037,79718,"2025-09-08 09:09:37","completed","sco_booking",1,NULL,NULL,1,0,0,1
82449,13960,8802,3511,1037,79727,"2025-09-08 14:49:13","completed","sco_booking",1,NULL,NULL,1,0,0,1
82453,15013,9271,3506,1037,79735,"2025-09-08 17:04:01","completed","sco_booking",1,NULL,NULL,1,0,0,1
82461,14992,9252,3506,1037,79756,"2025-09-09 11:50:44","completed","sco_booking",1,NULL,NULL,1,0,0,1
82487,12878,9300,3506,1037,79786,"2025-09-10 07:40:15","completed","sco_booking",1,NULL,NULL,1,0,0,1
82493,9176,8747,3506,1037,79789,"2025-09-10 13:10:49","completed","sco_booking",1,NULL,NULL,1,0,0,1
82494,9176,7521,3508,1037,79790,"2025-09-10 13:14:06","completed","sco_booking",1,NULL,NULL,1,0,0,1
82496,14460,9069,3506,1037,79792,"2025-09-10 15:17:52","completed","sco_booking",1,NULL,NULL,1,0,0,1
82513,13952,8785,3511,1037,79816,"2025-09-12 13:02:00","completed","sco_booking",1,NULL,NULL,1,0,0,1
